Month,United States : all fuels (utility-scale) thousand megawatthours,United States : coal thousand megawatthours,United States : natural gas thousand megawatthours,United States : nuclear thousand megawatthours,United States : conventional hydroelectric thousand megawatthours,United States : wind thousand megawatthours,United States : all solar thousand megawatthours
Oct-08,318547.3431,151840.7152,73283.33855,62820.353,15469.94246,4756.40094,
Sep-08,338056.13,161356.3473,79136.02998,67053.867,16178.19232,3111.45182,
Aug-08,388986.7188,180576.493,99673.49348,72617.066,21229.2774,3264.40615,
Jul-08,402900.3362,186733.4563,100320.8781,74318.27,25555.08636,4008.40059,
Jun-08,373109.0269,171043.279,84619.97663,70319.366,29177.42712,5140.3764,
May-08,325244.8019,154915.9014,62270.44712,64825.901,27221.14742,5340.28392,
Apr-08,305865.0312,146983.0239,63046.09796,57332.716,22233.93205,5225.28203,
Mar-08,324629.8496,160743.243,62170.57985,64716.468,21668.93847,4782.01995,
Feb-08,325105.5971,166666.3548,60042.0118,65130.385,18788.8861,3851.7487,
Jan-08,362998.429,182875.5043,72599.9011,70734.57,20779.13078,4273.1854,
Dec-07,346290.3305,173829.8655,66807.82797,71982.726,18341.67452,3490.23188,
Nov-07,314102.5426,159382.4546,60636.79925,64899.278,15682.053,3095.03643,
Oct-07,332615.4164,162234.3561,78358.02381,61689.542,14796.43375,3376.54028,
Sep-07,355393.9119,169391.2728,88531.61471,67578.578,14742.53418,2866.72155,
Aug-07,421796.6593,190134.8163,121338.4266,72750.91,19940.55104,2699.36469,
Jul-07,393226.4323,185053.7876,97482.67572,72738.535,22477.76053,2158.37244,
Jun-07,362754.8772,173512.884,81511.45079,68923.074,22816.60812,2620.41645,
May-07,330202.758,157513.2812,66469.7005,65024.555,26046.97643,2952.34063,
Apr-07,303129.0636,146249.5412,60152.84758,57301.424,23890.58301,3171.70315,
Mar-07,320471.2425,159811.0739,56203.82094,64305.153,24163.45595,3047.09243,
Feb-07,323230.3948,163602.8126,57622.07125,65224.794,18566.63325,2519.79285,
Jan-07,353531.0948,175739.4377,61474.53193,74006.184,26044.71053,2452.31464,
Dec-06,336283.2459,173508.9511,56128.18599,70489.681,21595.95122,2471.68958,
Nov-06,309158.8264,159439.5173,53439.69272,61392.321,20271.72257,2540.48864,
Oct-06,321567.0913,161389.6591,70640.03895,57509.306,17055.17699,2442.12988,
Sep-06,332055.3208,161590.3542,72673.34798,66642.327,17201.46086,1879.14378,
Aug-06,407762.5364,189454.9297,106591.666,72016.095,21728.3537,1655.18688,
Jul-06,410420.7933,187820.8715,108093.5144,72186.494,25439.39237,1955.06423,
Jun-06,364259.7976,169693.4782,81060.20993,68391.472,29757.28409,2051.76563,
May-06,330615.57,157009.7551,65585.60534,62775.701,30818.44294,2458.6826,
Apr-06,297858.0775,141426.2336,56090.85628,57567.204,28555.68297,2471.76225,
Mar-06,318729.7996,161325.1153,54921.74189,63720.849,24624.60881,2358.63174,
Feb-06,307333.43,158616.1889,47408.9894,62615.654,24761.68318,1921.95844,
Jan-06,328657.7385,169236.0806,43806.92078,71911.532,27436.65597,2382.63335,
Dec-05,348101.0706,177965.1796,53992.60122,71735.067,22141.15675,1827.81389,
Nov-05,306115.2362,158797.527,49440.22594,62912.709,19352.66779,1609.69148,
Oct-05,316397.9236,162436.793,55940.88089,61235.597,18006.36026,1446.18982,
Sep-05,350217.8005,171656.2155,73355.48269,66738.979,17363.68401,1468.34696,
Aug-05,404940.6811,187573.7544,100786.6544,71381.55,21565.67882,1138.03152,
Jul-05,402273.8465,186090.7572,96819.41031,71070.011,25956.84152,1420.94183,
Jun-05,363671.636,174866.9973,75635.49254,66144.275,26782.98993,1796.92435,
May-05,315062.1099,153957.9615,54826.00402,62970.464,27278.51096,1746.42955,
Apr-05,289562.3999,143083.239,52016.28598,55484.01,23058.35863,1697.5037,
Mar-05,317458.2765,163612.7005,51896.97271,61538.53,22936.06749,1560.62565,
Feb-05,298500.3156,155818.0141,44912.61665,60946.934,21606.77394,966.48178,
Jan-05,343121.4534,177013.9066,51337.62707,69828.239,24272.16485,1131.5685,
Dec-04,341947.9634,176755.2015,51309.56547,68616.627,26210.71849,1172.00867,
Nov-04,302101.2562,157435.9942,49693.03398,58940.863,20937.04438,932.203,
Oct-04,312450.2229,157605.0954,57228.81399,62530.352,18862.7954,1028.87272,
Sep-04,335622.1979,164252.9233,67853.99334,65932.057,20525.26137,1089.61523,
Aug-04,368439.0371,178181.3426,77820.68835,71068.483,21591.96742,1050.71885,
Jul-04,377331.6971,181491.8206,79290.02224,71975.04,23318.27953,1164.37009,
